evals,trace
3.780000000000000000e+02,9.622140083833520263e-01
3.800000000000000000e+02,9.708774144858329791e-01
3.820000000000000000e+02,9.783409311160545796e-01
3.840000000000000000e+02,9.376849675342330270e-01
3.860000000000000000e+02,9.483527623431800002e-01
3.880000000000000000e+02,9.528480156044588645e-01
3.900000000000000000e+02,8.874790104489161946e-01
3.920000000000000000e+02,8.910125700156833473e-01
3.940000000000000000e+02,8.867018185348362058e-01
3.960000000000000000e+02,8.878255998573035823e-01
3.980000000000000000e+02,9.181410950940460669e-01
4.000000000000000000e+02,9.999986001391980572e-01
4.020000000000000000e+02,9.996336268700957151e-01
4.040000000000000000e+02,9.998227413882627701e-01
4.060000000000000000e+02,9.998695468555468535e-01
4.080000000000000000e+02,9.979202613803890287e-01
4.100000000000000000e+02,9.964673702762890661e-01
4.120000000000000000e+02,9.966023664012417793e-01
4.140000000000000000e+02,9.976809976480549569e-01
4.160000000000000000e+02,9.911519351270705602e-01
4.180000000000000000e+02,9.914195785563324481e-01
4.200000000000000000e+02,9.922933866259729951e-01
4.220000000000000000e+02,9.897259506335951418e-01
4.240000000000000000e+02,9.880318875134183054e-01
4.260000000000000000e+02,9.952834389833711271e-01
4.280000000000000000e+02,9.934533614834060167e-01
4.300000000000000000e+02,9.937782485219245343e-01
4.320000000000000000e+02,9.914013882030185965e-01
4.340000000000000000e+02,9.958115788510946143e-01
4.360000000000000000e+02,9.999094771666391379e-01
4.380000000000000000e+02,9.999988620067656875e-01
4.400000000000000000e+02,9.967059017006446586e-01
4.420000000000000000e+02,9.971829012547993587e-01
4.440000000000000000e+02,9.973370779644232798e-01
4.460000000000000000e+02,9.983610432165896942e-01
4.480000000000000000e+02,9.975612063586252187e-01
4.500000000000000000e+02,9.802447450567407516e-01
4.520000000000000000e+02,9.836095881742468183e-01
4.540000000000000000e+02,9.849280032398490814e-01
4.560000000000000000e+02,9.849443664769773621e-01
4.580000000000000000e+02,9.842896767512433476e-01
4.600000000000000000e+02,9.672933967627833640e-01
4.620000000000000000e+02,9.570397342397306550e-01
4.640000000000000000e+02,9.285011353855110450e-01
4.660000000000000000e+02,9.239351491118068527e-01
4.680000000000000000e+02,9.712797081552780876e-01
4.700000000000000000e+02,9.613779953515242394e-01
4.720000000000000000e+02,9.638336972586938334e-01
4.740000000000000000e+02,8.835308111921015284e-01
4.760000000000000000e+02,8.860964359859394568e-01
4.780000000000000000e+02,8.517563284395537337e-01
4.800000000000000000e+02,8.606245306909464654e-01
4.820000000000000000e+02,8.339415488929677878e-01
4.840000000000000000e+02,8.087821398278549623e-01
